mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,0.0,33.93373447,8503.7,14.561,0.812,236.1,7.34,430.0,1.0,5040.0,0.705,0.782,4.628
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,3.689920099,426.7,2.6557,0.151,35.6,1.89,1147.0,1.0,5880.0,0.917,1.01,4.518
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.431238488,1010.9,3.15,0.405,71.1,3.25,1104.0,3.0,5714.0,1.015,1.007,4.428
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,11.37936986,1023.5,2.6255,0.911,37.9,3.95,806.0,3.0,5714.0,1.015,1.007,4.428
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,26.39432897,1510.9,3.573,0.602,48.2,3.07,489.0,1.0,5129.0,0.763,0.846,4.595
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,13.57078281,511.7,3.3539,0.866,88.4,2.64,785.0,4.0,5854.0,1.012,0.951,4.406
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,7.12594387,192.4,3.0014,0.898,47.1,1.79,997.0,3.0,5779.0,1.087,0.941,4.339
Kepler,FALSE POSITIVE,0.014,0.0,1.0,0.0,0.0,7.442652004,24446.0,2.3078,0.137,835.6,15.03,967.0,1.0,6108.0,0.956,0.981,4.469
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,16.38489988,1127.1,3.0249,0.001,28.9,2.0,433.0,3.0,4126.0,0.615,0.633,4.661
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,7.8774163,1306.1,2.0805,0.041,38.7,2.16,553.0,3.0,4126.0,0.615,0.633,4.661
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,36.4454001,1122.3,4.007,0.028,21.7,1.99,332.0,3.0,4126.0,0.615,0.633,4.661
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,3.728732147,5226.5,2.683,0.558,345.2,6.02,1023.0,1.0,5497.0,0.809,0.907,4.577
